Gene,Group
AAK1,Other
AATK,TK
ABL1,TK
ABL2,TK
ABR,AKG
ACAD10,NA
ACAD11,NA
ACVR1,TKL
ACVR1B,TKL
ACVR1C,TKL
ACVR2A,TKL
ACVR2B,TKL
ACVRL1,TKL
ADCK1,AKG
ADCK2,AKG
ADCK5,AKG
ADK,NA
ADPGK,NA
AGK,NA
AK1,NA
AK2,NA
AK3,NA
AK4,NA
AK5,NA
AK6,NA
AK7,NA
AK8,NA
AK9,NA
AKT1,AGC
AKT2,AGC
AKT3,AGC
ALDH18A1,NA
ALK,TK
ALPK1,AKG
ALPK2,AKG
ALPK3,AKG
AMHR2,TKL
ANKK1,TKL
ARAF,TKL
ATM,AKG
ATR,AKG
AURKA,Other
AURKB,Other
AURKC,Other
AXL,TK
BAZ1A,AKG
BAZ1B,AKG
BCKDK,AKG
BCR,AKG
BLK,TK
BLVRA,AKG
BMP2K,Other
BMPR1A,TKL
BMPR1B,TKL
BMPR2,TKL
BMX,TK
BRAF,TKL
BRD2,AKG
BRD3,AKG
BRD4,AKG
BRDT,AKG
BRSK1,CAMK
BRSK2,CAMK
BTK,TK
BUB1,Other
BUB1B,Other
CAMK1,CAMK
CAMK1D,CAMK
CAMK1G,CAMK
CAMK2A,CAMK
CAMK2B,CAMK
CAMK2D,CAMK
CAMK2G,CAMK
CAMK4,CAMK
CAMKK1,Other
CAMKK2,Other
CAMKV,CAMK
CARD11,NA
CASK,CAMK
CDC42BPA,AGC
CDC42BPB,AGC
CDC42BPG,AGC
CDC7,Other
CDK1,CMGC
CDK10,CMGC
CDK11A,CMGC
CDK11B,CMGC
CDK12,CMGC
CDK13,CMGC
CDK14,CMGC
CDK15,CMGC
CDK16,CMGC
CDK17,CMGC
CDK18,CMGC
CDK19,CMGC
CDK2,CMGC
CDK20,CMGC
CDK3,CMGC
CDK4,CMGC
CDK5,CMGC
CDK6,CMGC
CDK7,CMGC
CDK8,CMGC
CDK9,CMGC
CDKL1,CMGC
CDKL2,CMGC
CDKL3,CMGC
CDKL4,CMGC
CDKL5,CMGC
CERK,NA
CERKL,NA
CERT1,AKG
CHEK1,CAMK
CHEK2,CAMK
CHKA,NA
CHKB,NA
CHUK,Other
CIITA,NA
CILK1,CMGC
CIT,AGC
CKB,NA
CKM,NA
CKMT1B,NA
CKMT2,NA
CLK1,CMGC
CLK2,CMGC
CLK3,CMGC
CLK4,CMGC
CLP1,NA
CMPK1,NA
CMPK2,NA
COASY,NA
COQ8A,AKG
COQ8B,AKG
CSF1R,TK
CSK,TK
CSNK1A1,CK1
CSNK1A1L,CK1
CSNK1D,CK1
CSNK1E,CK1
CSNK1G1,CK1
CSNK1G2,CK1
CSNK1G3,CK1
CSNK2A1,CMGC
CSNK2A2,CMGC
CSNK2A3,NA
DAPK1,CAMK
DAPK2,CAMK
DAPK3,CAMK
DCAF1,NA
DCAKD,NA
DCK,NA
DCLK1,CAMK
DCLK2,CAMK
DCLK3,CAMK
DDR1,TK
DDR2,TK
DGKA,NA
DGKB,NA
DGKD,NA
DGKE,NA
DGKG,NA
DGKH,NA
DGKI,NA
DGKK,NA
DGKQ,NA
DGKZ,NA
DGUOK,NA
DMPK,AGC
DOLK,NA
DSTYK,Other
DTYMK,NA
DYRK1A,CMGC
DYRK1B,CMGC
DYRK2,CMGC
DYRK3,CMGC
DYRK4,CMGC
EEF2K,AKG
EGFR,TK
EIF2AK1,Other
EIF2AK2,Other
EIF2AK3,Other
EIF2AK4,Other
EPHA1,TK
EPHA10,TK
EPHA2,TK
EPHA3,TK
EPHA4,TK
EPHA5,TK
EPHA6,TK
EPHA7,TK
EPHA8,TK
EPHB1,TK
EPHB2,TK
EPHB3,TK
EPHB4,TK
EPHB6,TK
ERBB2,TK
ERBB3,TK
ERBB4,TK
ERN1,Other
ERN2,Other
ETNK1,NA
ETNK2,NA
FAM20A,NA
FAM20B,NA
FAM20C,NA
FASTK,AKG
FASTKD1,NA
FASTKD2,NA
FASTKD3,NA
FASTKD5,NA
FCSK,NA
FER,TK
FES,TK
FGFR1,TK
FGFR2,TK
FGFR3,TK
FGFR4,TK
FGGY,NA
FGR,TK
FJX1,NA
FLT1,TK
FLT3,TK
FLT4,TK
FN3K,NA
FN3KRP,NA
FRK,TK
FYN,TK
GAK,Other
GALK1,NA
GALK2,NA
GASK1A,NA
GASK1B,NA
GCK,NA
GK,NA
GK2,NA
GK5,NA
GLYCTK,NA
GNE,NA
GRK1,AGC
GRK2,AGC
GRK3,AGC
GRK4,AGC
GRK5,AGC
GRK6,AGC
GRK7,AGC
GSK3A,CMGC
GSK3B,CMGC
GTF2F1,AKG
GUCY2C,RGC
GUCY2D,RGC
GUCY2F,RGC
GUK1,NA
HASPIN,Other
HCK,TK
HIPK1,CMGC
HIPK2,CMGC
HIPK3,CMGC
HIPK4,CMGC
HK1,NA
HK2,NA
HK3,NA
HKDC1,NA
HSPB8,Unknown
HUNK,CAMK
HYKK,NA
IDNK,NA
IGF1R,TK
IKBKB,Other
IKBKE,Other
ILK,TKL
INSR,TK
INSRR,TK
IP6K1,NA
IP6K2,NA
IP6K3,NA
IPMK,NA
IPPK,NA
IRAK1,TKL
IRAK2,TKL
IRAK3,TKL
IRAK4,TKL
ITK,TK
ITPK1,NA
ITPKA,NA
ITPKB,NA
ITPKC,NA
JAK1,TK
JAK2,TK
JAK3,TK
KALRN,CAMK
KDR,TK
KHK,NA
KIT,TK
KSR1,TKL
KSR2,TKL
LATS1,AGC
LATS2,AGC
LCK,TK
LIMK1,TKL
LIMK2,TKL
LMTK2,TK
LMTK3,TK
LRGUK,NA
LRRK1,TKL
LRRK2,TKL
LTK,TK
LYN,TK
MAGI3,NA
MAK,CMGC
MAP2K1,STE
MAP2K2,STE
MAP2K3,STE
MAP2K4,STE
MAP2K5,STE
MAP2K6,STE
MAP2K7,STE
MAP3K1,STE
MAP3K10,TKL
MAP3K11,TKL
MAP3K12,TKL
MAP3K13,TKL
MAP3K14,STE
MAP3K15,STE
MAP3K19,STE
MAP3K2,STE
MAP3K20,TKL
MAP3K21,TKL
MAP3K3,STE
MAP3K4,STE
MAP3K5,STE
MAP3K6,STE
MAP3K7,TKL
MAP3K8,STE
MAP3K9,TKL
MAP4K1,STE
MAP4K2,STE
MAP4K3,STE
MAP4K4,STE
MAP4K5,STE
MAPK1,CMGC
MAPK10,CMGC
MAPK11,CMGC
MAPK12,CMGC
MAPK13,CMGC
MAPK14,CMGC
MAPK15,CMGC
MAPK3,CMGC
MAPK4,CMGC
MAPK6,CMGC
MAPK7,CMGC
MAPK8,CMGC
MAPK9,CMGC
MAPKAPK2,CAMK
MAPKAPK3,CAMK
MAPKAPK5,CAMK
MARK1,CAMK
MARK2,CAMK
MARK3,CAMK
MARK4,CAMK
MAST1,AGC
MAST2,AGC
MAST3,AGC
MAST4,AGC
MASTL,AGC
MATK,TK
MELK,CAMK
MERTK,TK
MET,TK
MINK1,STE
MKNK1,CAMK
MKNK2,CAMK
MLKL,TKL
MOK,CMGC
MOS,Other
MST1R,TK
MTOR,AKG
MUSK,TK
MVK,NA
MYLK,CAMK
MYLK2,CAMK
MYLK3,CAMK
MYLK4,CAMK
MYO3A,STE
MYO3B,STE
N4BP2,NA
NADK,NA
NADK2,NA
NAGK,NA
NEK1,Other
NEK10,Other
NEK11,Other
NEK2,Other
NEK3,Other
NEK4,Other
NEK5,Other
NEK6,Other
NEK7,Other
NEK8,Other
NEK9,Other
NIM1K,CAMK
NLK,CMGC
NME1,NA
NME2,NA
NME3,NA
NME4,NA
NME5,NA
NME6,NA
NME7,NA
NME9,NA
NMRK1,NA
NMRK2,NA
NOL9,NA
NPR1,RGC
NPR2,RGC
NRBP1,Other
NRBP2,Other
NRK,STE
NTRK1,TK
NTRK2,TK
NTRK3,TK
NUAK1,CAMK
NUAK2,CAMK
OBSCN,CAMK
OXSR1,STE
PAK1,STE
PAK2,STE
PAK3,STE
PAK4,STE
PAK5,STE
PAK6,STE
PAN3,Other
PANK1,NA
PANK2,NA
PANK3,NA
PANK4,NA
PAPSS1,NA
PAPSS2,NA
PASK,CAMK
PBK,Other
PDGFRA,TK
PDGFRB,TK
PDIK1L,Other
PDK1,AKG
PDK2,AKG
PDK3,AKG
PDK4,AKG
PDPK1,AGC
PDXK,NA
PEAK1,Other
PEAK3,NA
PFKFB1,NA
PFKFB2,NA
