Gene,Group
Tssk1,CAMK
Aak1,Other
Aatk,TK
Abl1,TK
Abl2,TK
Abr,AKG
Acad10,NA
Acad11,NA
Acvr1,TKL
Acvr1b,TKL
Acvr1c,TKL
Acvr2a,TKL
Acvr2b,TKL
Acvrl1,TKL
Adck1,AKG
Adck2,AKG
Adck5,AKG
Adk,NA
Adpgk,NA
Agk,NA
Ak1,NA
Ak2,NA
Ak3,NA
Ak4,NA
Ak5,NA
Ak6,NA
Ak7,NA
Ak8,NA
Ak9,NA
Akt1,AGC
Akt2,AGC
Akt3,AGC
Aldh18a1,NA
Alk,TK
Alpk1,AKG
Alpk2,AKG
Alpk3,AKG
Amhr2,TKL
Ankk1,TKL
Araf,TKL
Atm,AKG
Atr,AKG
Aurka,Other
Aurkb,Other
Aurkc,Other
Axl,TK
Baz1a,AKG
Baz1b,AKG
Bckdk,AKG
Bcr,AKG
Blk,TK
Blvra,AKG
Bmp2k,Other
Bmpr1a,TKL
Bmpr1b,TKL
Bmpr2,TKL
Bmx,TK
Braf,TKL
Brd2,AKG
Brd3,AKG
Brd4,AKG
Brdt,AKG
Brsk1,CAMK
Brsk2,CAMK
Btk,TK
Bub1,Other
Bub1b,Other
Camk1,CAMK
Camk1d,CAMK
Camk1g,CAMK
Camk2a,CAMK
Camk2b,CAMK
Camk2d,CAMK
Camk2g,CAMK
Camk4,CAMK
Camkk1,Other
Camkk2,Other
Camkv,CAMK
Card11,NA
Cask,CAMK
Cdc42bpa,AGC
Cdc42bpb,AGC
Cdc42bpg,AGC
Cdc7,Other
Cdk1,CMGC
Cdk10,CMGC
Cdk11b,CMGC
Cdk12,CMGC
Cdk13,CMGC
Cdk14,CMGC
Cdk15,CMGC
Cdk16,CMGC
Cdk17,CMGC
Cdk18,CMGC
Cdk19,CMGC
Cdk2,CMGC
Cdk20,CMGC
Cdk3,CMGC
Cdk4,CMGC
Cdk5,CMGC
Cdk6,CMGC
Cdk7,CMGC
Cdk8,CMGC
Cdk9,CMGC
Cdkl1,CMGC
Cdkl2,CMGC
Cdkl3,CMGC
Cdkl4,CMGC
Cdkl5,CMGC
Cerk,NA
Cerkl,NA
Cert1,AKG
Chek1,CAMK
Chek2,CAMK
Chka,NA
Chkb,NA
Chuk,Other
Ciita,NA
Cilk1,CMGC
Cit,AGC
Ckb,NA
Ckm,NA
Ckmt2,NA
Clk1,CMGC
Clk2,CMGC
Clk3,CMGC
Clk4,CMGC
Clp1,NA
Cmpk1,NA
Cmpk2,NA
Coasy,NA
Coq8a,AKG
Coq8b,AKG
Csf1r,TK
Csk,TK
Csnk1a1,CK1
Csnk1d,CK1
Csnk1e,CK1
Csnk1g1,CK1
Csnk1g2,CK1
Csnk1g3,CK1
Csnk2a1,CMGC
Csnk2a1-ps3,NA
Csnk2a2,CMGC
Dapk1,CAMK
Dapk2,CAMK
Dapk3,CAMK
Dcaf1,NA
Dcakd,NA
Dck,NA
Dclk1,CAMK
Dclk2,CAMK
Dclk3,CAMK
Ddr1,TK
Ddr2,TK
Dgka,NA
Dgkb,NA
Dgkd,NA
Dgke,NA
Dgkg,NA
Dgkh,NA
Dgki,NA
Dgkk,NA
Dgkq,NA
Dgkz,NA
Dguok,NA
Dmpk,AGC
Dolk,NA
Dstyk,Other
Dtymk,NA
Dyrk1a,CMGC
Dyrk1b,CMGC
Dyrk2,CMGC
Dyrk3,CMGC
Dyrk4,CMGC
Eef2k,AKG
Egfr,TK
Eif2ak1,Other
Eif2ak2,Other
Eif2ak3,Other
Eif2ak4,Other
Epha1,TK
Epha10,TK
Epha2,TK
Epha3,TK
Epha4,TK
Epha5,TK
Epha6,TK
Epha7,TK
Epha8,TK
Ephb1,TK
Ephb2,TK
Ephb3,TK
Ephb4,TK
Ephb6,TK
Erbb2,TK
Erbb3,TK
Erbb4,TK
Ern1,Other
Ern2,Other
Etnk1,NA
Etnk2,NA
Fam20a,NA
Fam20b,NA
Fam20c,NA
Fastk,AKG
Fastkd1,NA
Fastkd2,NA
Fastkd3,NA
Fastkd5,NA
Fcsk,NA
Fer,TK
Fes,TK
Fgfr1,TK
Fgfr2,TK
Fgfr3,TK
Fgfr4,TK
Fggy,NA
Fgr,TK
Fjx1,NA
Flt1,TK
Flt3,TK
Flt4,TK
Fn3k,NA
Fn3krp,NA
Frk,TK
Fyn,TK
Gak,Other
Galk1,NA
Galk2,NA
Gask1a,NA
Gask1b,NA
Gck,NA
Gk,NA
Gk2,NA
Gk5,NA
Glyctk,NA
Gne,NA
Grk1,AGC
Grk2,AGC
Grk3,AGC
Grk4,AGC
Grk5,AGC
Grk6,AGC
Gsk3a,CMGC
Gsk3b,CMGC
Gtf2f1,AKG
Gucy2c,RGC
Gucy2d,RGC
Gucy2f,RGC
Guk1,NA
Haspin,Other
Hck,TK
Hipk1,CMGC
Hipk2,CMGC
Hipk3,CMGC
Hipk4,CMGC
Hk1,NA
Hk2,NA
Hk3,NA
Hkdc1,NA
Hspb8,Unknown
Hunk,CAMK
Hykk,NA
Idnk,NA
Igf1r,TK
Ikbkb,Other
Ikbke,Other
Ilk,TKL
Insr,TK
Insrr,TK
Ip6k1,NA
Ip6k2,NA
Ip6k3,NA
Ipmk,NA
Ippk,NA
Irak1,TKL
Irak2,TKL
Irak3,TKL
Irak4,TKL
Itk,TK
Itpk1,NA
Itpka,NA
Itpkb,NA
Itpkc,NA
Jak1,TK
Jak2,TK
Jak3,TK
Kalrn,CAMK
Kdr,TK
Khk,NA
Kit,TK
Ksr1,TKL
Ksr2,TKL
Lats1,AGC
Lats2,AGC
Lck,TK
Limk1,TKL
Limk2,TKL
Lmtk2,TK
Lmtk3,TK
Lrguk,NA
Lrrk1,TKL
Lrrk2,TKL
Ltk,TK
Lyn,TK
Magi3,NA
Mak,CMGC
Map2k1,STE
Map2k2,STE
Map2k3,STE
Map2k4,STE
Map2k5,STE
Map2k6,STE
Map2k7,STE
Map3k1,STE
Map3k10,TKL
Map3k11,TKL
Map3k12,TKL
Map3k13,TKL
Map3k14,STE
Map3k15,STE
Map3k19,STE
Map3k2,STE
Map3k20,TKL
Map3k21,TKL
Map3k3,STE
Map3k4,STE
Map3k5,STE
Map3k6,STE
Map3k7,TKL
Map3k8,STE
Map3k9,TKL
Map4k1,STE
Map4k2,STE
Map4k3,STE
Map4k4,STE
Map4k5,STE
Mapk1,CMGC
Mapk10,CMGC
Mapk11,CMGC
Mapk12,CMGC
Mapk13,CMGC
Mapk14,CMGC
Mapk15,CMGC
Mapk3,CMGC
Mapk4,CMGC
Mapk6,CMGC
Mapk7,CMGC
Mapk8,CMGC
Mapk9,CMGC
Mapkapk2,CAMK
Mapkapk3,CAMK
Mapkapk5,CAMK
