"","Uniprot.Name","Gene"
"1","A0A075B5I0","Ighv1-13"
"2","A0A075B5I2","Trbv4"
"3","A0A075B5I3","Trbv13-1"
"4","A0A075B5I8","Trbv21"
"5","A0A075B5I9","Trbv23"
"6","A0A075B5J0","Trbv26"
"7","A0A075B5J2","Trbv30"
"8","A0A075B5J3","Trbc1"
"9","A0A075B5J4","Trbc2"
"10","A0A075B5J5","Trbv31"
"11","A0A075B5J6","Gm20730"
"12","A0A075B5J7","Igkv14-130"
"13","A0A075B5J9","Igkv17-127"
"14","A0A075B5K0","Igkv14-126"
"15","A0A075B5K2","Igkv9-124"
"16","A0A075B5K3","Igkv17-121"
"17","A0A075B5K6","Igkv2-109"
"18","A0A075B5K7","Igkv14-100"
"19","A0A075B5K8","Igkv1-99"
"20","A0A075B5K9","Igkv12-98"
"21","A0A075B5L0","Igkv10-95"
"22","A0A075B5L1","Igkv10-94"
"23","A0A075B5L2","Igkv4-91"
"24","A0A075B5L3","Igkv4-90"
"25","A0A075B5L4","Igkv12-89"
"26","A0A075B5L5","Igkv4-86"
"27","A0A075B5L6","Igkv4-81"
"28","A0A075B5L7","Igkv4-80"
"29","A0A075B5L8","Igkv4-79"
"30","A0A075B5M1","Igkv4-63"
"31","A0A075B5M2","Igkv4-61"
"32","A0A075B5M3","Igkv4-58"
"33","A0A075B5M4","Igkv4-57-1"
"34","A0A075B5M7","Igkv5-39"
"35","A0A075B5M8","Igkv12-38"
"36","A0A075B5M9","Igkv18-36"
"37","A0A075B5N0","Igkv1-35"
"38","A0A075B5N2","Igkv6-29"
"39","A0A075B5N3","Igkv8-28"
"40","A0A075B5N4","Igkv8-27"
"41","A0A075B5N5","Igkv8-26"
"42","A0A075B5N6","Igkv8-16"
"43","A0A075B5N7","Igkv6-13"
"44","A0A075B5N8","Igkv3-10"
"45","A0A075B5N9","Igkv3-7"
"46","A0A075B5P0","Igkv3-2"
"47","A0A075B5P1","Igkv3-1"
"48","A0A075B5P7","Ighv5-2"
"49","A0A075B5P8","Ighv2-2"
"50","A0A075B5P9","Ighv5-4"
"51","A0A075B5Q0","Ighv5-6"
"52","A0A075B5Q2","Ighv5-9"
"53","A0A075B5Q3","Ighv2-5"
"54","A0A075B5Q4","Ighv5-12"
"55","A0A075B5Q5","Ighv2-9"
"56","A0A075B5Q6","Ighv5-9-1"
"57","A0A075B5Q7","Ighv2-6-8"
"58","A0A075B5Q8","Ighv2-7"
"59","A0A075B5Q9","Ighv5-15"
"60","A0A075B5R0","Ighv5-16"
"61","A0A075B5R1","Ighv5-17"
"62","A0A075B5R2","Ighv7-3"
"63","A0A075B5R3","Ighv7-2"
"64","A0A075B5R4","Ighv14-1"
"65","A0A075B5R5","Ighv4-1"
"66","A0A075B5R6","Ighv11-1"
"67","A0A075B5R7","Ighv14-2"
"68","A0A075B5R8","Ighv11-2"
"69","A0A075B5R9","Ighv14-3"
"70","A0A075B5S0","Ighv16-1"
"71","A0A075B5S1","Ighv9-1"
"72","A0A075B5S2","Ighv7-1"
"73","A0A075B5S3","Ighv14-4"
"74","A0A075B5S4","Ighv3-3"
"75","A0A075B5S5","Ighv7-4"
"76","A0A075B5S6","Ighv3-1"
"77","A0A075B5S9","Ighv9-4"
"78","A0A075B5T0","Ighv3-8"
"79","A0A075B5T1","Ighv12-3"
"80","A0A075B5T2","Ighv6-3"
"81","A0A075B5T3","Ighv6-6"
"82","A0A075B5T4","Ighv1-4"
"83","A0A075B5T5","Ighv1-5"
"84","A0A075B5T6","Ighv10-3"
"85","A0A075B5T7","Ighv1-7"
"86","A0A075B5T8","Ighv15-2"
"87","A0A075B5T9","Ighv1-9"
"88","A0A075B5U0","Ighv1-12"
"89","A0A075B5U1","Ighv1-16"
"90","A0A075B5U4","Ighv1-18"
"91","A0A075B5U5","Ighv1-19"
"92","A0A075B5U6","Ighv1-20"
"93","A0A075B5U7","Ighv1-22"
"94","A0A075B5U9","Ighv1-24"
"95","A0A075B5V0","Ighv1-26"
"96","A0A075B5V1","Ighv1-31"
"97","A0A075B5V2","Ighv1-34"
"98","A0A075B5V3","Ighv1-36"
"99","A0A075B5V4","Ighv1-37"
"100","A0A075B5V5","Ighv1-39"
"101","A0A075B5V6","Ighv1-42"
"102","A0A075B5V7","Ighv1-43"
"103","A0A075B5V8","Ighv1-47"
"104","A0A075B5V9","Ighv1-49"
"105","A0A075B5W1","Ighv1-50"
"106","A0A075B5W2","Ighv1-52"
"107","A0A075B5W3","Ighv1-53"
"108","A0A075B5W4","Ighv8-6"
"109","A0A075B5W5","Ighv1-54"
"110","A0A075B5W6","Ighv1-55"
"111","A0A075B5W7","Ighv1-56"
"112","A0A075B5W9","Ighv1-58"
"113","A0A075B5X0","Ighv1-59"
"114","A0A075B5X1","Ighv8-9"
"115","A0A075B5X2","Ighv1-63"
"116","A0A075B5X3","Ighv1-64"
"117","A0A075B5X4","Ighv8-11"
"118","A0A075B5X5","Ighv1-66"
"119","A0A075B5X6","Ighv1-67"
"120","A0A075B5X7","Ighv1-69"
"121","A0A075B5X8","Ighv8-12"
"122","A0A075B5Y0","Ighv8-13"
"123","A0A075B5Y1","Ighv1-74"
"124","A0A075B5Y2","Ighv1-75"
"125","A0A075B5Y3","Ighv1-80"
"126","A0A075B5Y4","Ighv1-81"
"127","A0A075B5Y6","Ighv1-85"
"128","A0A075B5Y8","Trgv6"
"129","A0A075B5Y9","Trgv5"
"130","A0A075B5Z0","Trgc1"
"131","A0A075B5Z1","Trgv3"
"132","A0A075B5Z2","Trgc2"
"133","A0A075B5Z7","Trav5-1"
"134","A0A075B5Z8","Trav6-1"
"135","A0A075B601","Trav9-1"
"136","A0A075B603","Trav6-6"
"137","A0A075B604","Trav7d-5"
"138","A0A075B606","Trav13d-1"
"139","A0A075B607","Trav14-3"
"140","A0A075B608","Trav15d-1-dv6d-1"
"141","A0A075B615","Trav4n-4"
"142","A0A075B617","Trav16d-dv11"
"143","A0A075B618","Trav13d-4"
"144","A0A075B619","Trav14d-3-dv8"
"145","A0A075B620","Trav7n-4"
"146","A0A075B621","Trav6n-5"
"147","A0A075B622","Trav10n"
"148","A0A075B623","Trav6n-6"
"149","A0A075B625","Trav4n-3"
"150","A0A075B626","Trav12n-2"
"151","A0A075B631","Trav9n-4"
"152","A0A075B633","Trav8n-2"
"153","A0A075B634","Trav16n"
"154","A0A075B635","Trav13n-4"
"155","A0A075B636","Trav14n-3"
"156","A0A075B638","Trav4-2"
"157","A0A075B639","Trav6-7-dv9"
"158","A0A075B641","Trav8-1"
"159","A0A075B642","Trav10d"
"160","A0A075B644","Trav13-1"
"161","A0A075B647","Trav9-2"
"162","A0A075B648","Trav12-3"
"163","A0A075B649","Trav13-2"
"164","A0A075B650","Trav15-2-dv6-2"
"165","A0A075B651","Trav4-4-dv10"
"166","A0A075B652","Trav5-4"
"167","A0A075B653","Trav16"
"168","A0A075B654","Trav3-4"
"169","A0A075B658","Trdv2-1"
"170","A0A075B661","Trdv5"
"171","A0A075B662","Trac"
"172","A0A075B663","Iglv1"
"173","A0A075B666","Igkv13-85"
"174","A0A075B674","Ighv1-78"
"175","A0A075B676","Ighv5-8"
"176","A0A075B677","Igkv4-53"
"177","A0A075B680","Ighv1-62-2"
"178","A0A075B683","Gm17472"
"179","A0A075B684","Ighv1-62-1"
"180","A0A075B685","Trav9d-4"
"181","A0A075B693","Ighv8-4"
"182","A0A075B695","Trav9d-3"
"183","A0A075B696","Ighv2-3"
"184","A0A075B697","Ighv2-9-1"
"185","A0A075B699","Trav9d-1"
"186","A0A075B6A4","Trav12n-3"
"187","A0A075B6A6","Trav6n-7"
"188","A0A075B6A7","Ighv2-6"
"189","A0A075B6B0","Trav6d-7"
"190","A0A075B6B1","Trav14d-1"
"191","A0A075B6B9","Trav6d-5"
"192","A0A075B6C1","Trav7-4"
"193","A0A075B6C4","Trav21-dv12"
"194","A0A075B6C7","Trgc4"
"195","A0A075B6C9","Trav13-4-dv7"
"196","A0A075B6D1","Trav7-6"
"197","A0A075B6D3","Trav6d-3"
"198","A0A075B6D4","Trav6-5"
"199","A0A075B6D5","Igkv19-93"
"200","A0A075B6D6","Trav6-4"
"201","A0A077KA19","Gm17783"
"202","A0A087WNM4","Gm21854"
"203","A0A087WNP0","4931428L18Rik"
"204","A0A087WNP1","Gm28168"
"205","A0A087WNP5","Gm10778"
"206","A0A087WNP8","Gm21778"
"207","A0A087WNQ7","Smim10l1"
"208","A0A087WNV3","Gm33815"
"209","A0A087WNW4","Gm29554"
"210","A0A087WNW5","Gm29276"
"211","A0A087WNZ6","1700025B11Rik"
"212","A0A087WP11","H2al1b"
"213","A0A087WP21","Scgb1b12"
"214","A0A087WP28","Gm28510"
"215","A0A087WP35","Gm28919"
"216","A0A087WP44","Gm28897"
"217","A0A087WP46","BC034090"
"218","A0A087WP50","Scgb1b17"
"219","A0A087WPA5","Gm28961"
"220","A0A087WPA9","Scgb2b18"
"221","A0A087WPC3","Cyp4a29"
"222","AUTS2","Auts2"
"223","A0A087WPG5","Gm13283"
"224","A0A087WPH4","Gm6358"
"225","A0A087WPH8","Trdv1"
"226","A0A087WPJ1","1700017N19Rik"
"227","A0A087WPJ9","Gm21117"
"228","A0A087WPN2","Gm3604"
"229","A0A087WPN7","Ighv13-2"
"230","A0A087WPP3","Gm20820"
"231","A0A087WPV9","1700019A02Rik"
"232","A0A087WPW0","Scgb1b10"
"233","A0A087WPY7","Gm29289"
"234","A0A087WQ19","Gm28171"
"235","A0A087WQ24","Gm21858"
"236","A0A087WQ44","Srcap"
"237","A0A087WQ87","Trav17"
"238","A0A087WQ89","Misp3"
"239","A0A087WQ99","Gm29666"
"240","A0A087WQA2","E130114P18Rik"
"241","A0A087WQA3","Gm20888"
"242","A0A087WQA9","Scgb2b21"
"243","A0A087WQC7","Gm21258"
"244","A0A087WQI7","B020011L13Rik"
"245","A0A087WQJ0","Scgb1b11"
"246","A0A087WQL3","Gm28102"
"247","A0A087WQL6","Krtap6-3"
"248","A0A087WQP5","Krtap28-13"
"249","A0A087WQP8","Gm21698"
"250","A0A087WQT1","Ly6g2"
"251","A0A087WQW2","Gm28363"
"252","A0A087WQY2","2410004P03Rik"
"253","A0A087WR13","Dnah7c"
"254","A0A087WR14","Gm21095"
"255","A0A087WR18","Gm13276"
"256","A0A087WR25","Gm28360"
"257","A0A087WR34","Gm20379"
"258","A0A087WR36","Vmn1r90"
"259","A0A087WR44","Btbd35f15"
"260","A0A087WR45","Prob1"
"261","A0A087WR49","Scgb2b11"
"262","A0A087WR82","Gm4064"
"263","A0A087WR99","Gm21488"
"264","A0A087WRF5","Gm21861"
"265","A0A087WRH0","Zfp951"
"266","A0A087WRH8","Gm5157"
"267","A0A087WRI3","Cfap77"
"268","A0A087WRJ1","2610044O15Rik8"
"269","A0A087WRK3","Gm21497"
"270","A0A087WRL2","Gm21865"
"271","A0A087WRM1","Gm29423"
"272","A0A087WRP6","Gm28576"
"273","A0A087WRQ3","Trav1"
"274","A0A087WRR7","Zfp383"
"275","A0A087WRT7","Ms4a4a"
"276","A0A087WRT9","Gm28490"
"277","A0A087WRU1","CN725425"
"278","A0A087WRV1","Vmn1r82"
"279","A0A087WRX0","Ly6g6g"
"280","A0A087WRX6","Trav18"
"281","A0A087WS15","Cyp4a30b"
"282","A0A087WS64","Gm7145"
"283","A0A087WS79","Gm21294"
"284","A0A087WS97","Gm20824"
"285","A0A087WSA6","Gm7358"
"286","A0A087WSB9","Ms4a12"
"287","A0A087WSD2","Ms4a14"
"288","A0A087WSF2","Smok3c"
"289","A0A087WSG3","Gm28269"
"290","A0A087WSM5","Gm29049"
"291","A0A087WSN2","Btbd35f16"
"292","A0A087WSP8","Gm29106"
"293","A0A087WSS0","Gm20911"
"294","A0A087WSS9","Gm21996"
"295","IQIP1","Iqcj-Schip1"
"296","A0A0A0MQA4","Gm10024"
"297","A0A0A0MQP3","Btbd35f12"
"298","A0A0A6YVP1","Trbj1-7"
"299","A0A0A6YVQ4","Ighj1"
"300","A0A0A6YVU8","Gm9774"
"301","A0A0A6YVV1","2210017I01Rik"
"302","A0A0A6YVW3","Ighv1-23"
"303","A0A0A6YVW6","2310046K23Rik"
"304","A0A0A6YVY0","Trbj1-1"
"305","A0A0A6YW14","Ighd"
"306","A0A0A6YW33","Gm6525"
"307","A0A0A6YW38","Gm28870"
"308","A0A0A6YW58","Ighv8-2"
"309","A0A0A6YW67","Gm8797"
"310","A0A0A6YW72","Dchs2"
"311","A0A0A6YWG4","Ighv5-12-4"
"312","A0A0A6YWI4","2310009B15Rik"
"313","A0A0A6YWI9","Ighv1-11"
"314","A0A0A6YWJ8","Ighj2"
"315","A0A0A6YWS7","Tdpoz8"
"316","A0A0A6YWT0","Trbj1-6"
"317","A0A0A6YWU1","Trbj1-2"
"318","A0A0A6YWU3","Ighv6-7"
"319","A0A0A6YWW0","Trbj2-1"
"320","A0A0A6YWW9","Ighj3"
"321","A0A0A6YX04","Gm29866"
"322","A0A0A6YX08","Trbj2-2"
"323","A0A0A6YX16","Trbj1-5"
"324","A0A0A6YX29","Gm38119"
"325","A0A0A6YXA0","Trbj1-3"
"326","A0A0A6YXA5","Ighv1-15"
"327","A0A0A6YXC7","Ighj4"
"328","A0A0A6YXF1","Ighv3-4"
"329","A0A0A6YXH6","Trbj2-7"
"330","A0A0A6YXJ1","Gm3952"
"331","A0A0A6YXL2","Tdpoz6"
"332","A0A0A6YXN8","Sirpb1b"
"333","A0A0A6YXQ0","Ighv8-8"
"334","A0A0A6YXW2","Gm20773"
"335","A0A0A6YXW6","Igha"
"336","A0A0A6YXX7","Gm20807"
"337","CTSEL","Catspere2"
"338","A0A0A6YXY4","Trbj1-4"
"339","BTBDI","Btbd18"
"340","A0A0A6YY60","Ighv8-5"
"341","A0A0A6YY83","Pcdh7"
"342","A0A0A6YYE2","Trbv3"
"343","A0A0A6YYE3","Trbv15"
"344","A0A0A6YYE5","Igkv4-78"
"345","A0A0A6YYE7","Igkv4-57"
"346","A0A0A6YYE8","Trgv7"
"347","A0A0A6YYP6","Sirpb1a"
"348","A0A0B4J1F3","Lilra6"
"349","ARRD4","Arrdc4"
"350","A0A0B4J1F6","BC053393"
"351","A0A0B4J1F8","Smim10l2a"
"352","A0A0B4J1F9","Tchh"
