"","Uniprot.Name","Gene"
"1","A0A024R1R8","ENSG00000225528"
"2","NUD4B","NUDT4B"
"3","A0A024RCN7","SNHG32"
"4","A0A075B6H5","TRBV20OR9-2"
"5","KV37","IGKV3-7"
"6","KVD42","IGKV1D-42"
"7","LV469","IGLV4-69"
"8","LV861","IGLV8-61"
"9","LV460","IGLV4-60"
"10","LVK55","IGLV11-55"
"11","LVX54","IGLV10-54"
"12","LV150","IGLV1-50"
"13","LV548","IGLV5-48"
"14","LV746","IGLV7-46"
"15","LV537","IGLV5-37"
"16","LV233","IGLV2-33"
"17","LV322","IGLV3-22"
"18","LV218","IGLV2-18"
"19","LV316","IGLV3-16"
"20","LV312","IGLV3-12"
"21","LV310","IGLV3-10"
"22","LV39","IGLV3-9"
"23","LV403","IGLV4-3"
"24","A0A075B6L2","TRGV11"
"25","A0A075B6L6","TRBV7-3"
"26","TVB19","TRBV19"
"27","TVBT1","TRBV20-1"
"28","TVBX1","TRBV24-1"
"29","TVBY1","TRBV25-1"
"30","KV228","IGKV2-28"
"31","HV364","IGHV3-64"
"32","TRGV2","TRGV2"
"33","HV404","IGHV4-4"
"34","KVD24","IGKV2D-24"
"35","TRGJ1","TRGJ1"
"36","KVD29","IGKV2D-29"
"37","KVD17","IGKV1D-17"
"38","KV127","IGKV1-27"
"39","KVD30","IGKV2D-30"
"40","KV137","IGKV1-37"
"41","TVAL2","TRAV12-2"
"42","TVA6","TRAV6"
"43","TVA91","TRAV9-1"
"44","TVA7","TRAV7"
"45","A0A075B6U6","TRAV8-7"
"46","A0A075B6U7","TRAJ23"
"47","A0A075B6U8","TRAJ12"
"48","A0A075B6U9","TRAJ2"
"49","A0A075B6V0","TRAJ16"
"50","A0A075B6V1","TRAJ43"
"51","A0A075B6V2","TRAJ21"
"52","A0A075B6V3","TRAJ48"
"53","TVA36","TRAV36DV7"
"54","A0A075B6V6","TRDJ2"
"55","A0A075B6V7","TRAJ26"
"56","A0A075B6V8","TRAJ5"
"57","A0A075B6V9","TRAJ59"
"58","A0A075B6W1","TRDJ3"
"59","A0A075B6W2","TRAJ52"
"60","A0A075B6W3","TRAJ33"
"61","A0A075B6W4","TRAJ46"
"62","TVA23","TRAV23DV6"
"63","A0A075B6W6","TRAJ27"
"64","A0A075B6W7","TRAJ38"
"65","A0A075B6W8","TRAJ17"
"66","A0A075B6W9","TRAJ53"
"67","A0A075B6X0","TRAJ45"
"68","A0A075B6X3","TRAJ32"
"69","A0A075B6X4","TRAJ28"
"70","TVA18","TRAV18"
"71","A0A075B6X7","TRAJ50"
"72","A0A075B6X8","TRAJ44"
"73","A0A075B6X9","TRAJ18"
"74","A0A075B6Y0","TRAJ49"
"75","A0A075B6Y1","TRAJ30"
"76","A0A075B6Y2","TRAJ35"
"77","TJA3","TRAJ3"
"78","A0A075B6Y4","TRAJ19"
"79","A0A075B6Y5","TRAJ47"
"80","A0A075B6Y8","TRAJ11"
"81","TJA42","TRAJ42"
"82","A0A075B6Z0","TRAJ22"
"83","A0A075B6Z1","TRAJ20"
"84","A0A075B6Z2","TRAJ56"
"85","A0A075B6Z3","TRAJ6"
"86","A0A075B6Z4","TRDJ4"
"87","A0A075B6Z5","TRAJ4"
"88","A0A075B6Z8","TRAJ25"
